门店名称	菜品名称	物料名称	毛料	净料	单价	单位	物料成本
总部	湖南米粉	江西米粉50*500g	200	200	3.8	克	1.52
总部	剁椒鱼头（半只）	大红椒	25	25	5.25	克	0.26
总部	剁椒鱼头（半只）	小米椒	5	5	10	克	0.1
总部	剁椒鱼头（半只）	生姜	4	4	3.15	克	0.03
总部	剁椒鱼头（半只）	大蒜子	5	5	4	克	0.04
总部	剁椒鱼头（半只）	香葱	2.5	2.5	4.75	克	0.02
总部	剁椒鱼头（半只）	家乐鸡精900g*10	2	2	20.5	克	0.05
总部	剁椒鱼头（半只）	老一品豆豉180g*30	3	3	4	克	0.07
总部	剁椒鱼头（半只）	家乐蒸鱼豉油2.35KG*6	10	10	24.75	克	0.11
总部	剁椒鱼头（半只）	泡红椒1*2.5kg	125	125	7	克	1.75
总部	剁椒鱼头（半只）	大湖有机鱼	1.9	1.9	12.15	斤	23.09
总部	剁椒鱼头（半只）	带皮肥膘	15	15	7.5	克	0.23
总部	剁椒鱼头（半只）	青岛啤酒冰纯600ML	25	25	2	克	0.08
总部	剁椒鱼头（半只）	双桥味精2.5kg	2	2	36	克	0.03
总部	剁椒鱼头（半只）	海皇大豆油10L	25	25	0	克	0
总部	剁椒鱼头（整只）	大红椒	50	50	5.25	克	0.53
总部	剁椒鱼头（整只）	小米椒	10	10	10	克	0.2
总部	剁椒鱼头（整只）	生姜	8	8	3.15	克	0.05
总部	剁椒鱼头（整只）	大蒜子	10	10	4	克	0.08
总部	剁椒鱼头（整只）	香葱	5	5	4.75	克	0.05
总部	剁椒鱼头（整只）	家乐鸡精900g*10	4	4	20.5	克	0.09
总部	剁椒鱼头（整只）	老一品豆豉180g*30	6	6	4	克	0.13
总部	剁椒鱼头（整只）	家乐蒸鱼豉油2.35KG*6	20	20	24.75	克	0.21
总部	剁椒鱼头（整只）	泡红椒1*2.5kg	250	250	7	克	3.5
总部	剁椒鱼头（整只）	大湖有机鱼	3.8	3.8	12.15	斤	46.17
总部	剁椒鱼头（整只）	带皮肥膘	30	30	7.5	克	0.45
总部	剁椒鱼头（整只）	青岛啤酒冰纯600ML	50	50	2	克	0.17
总部	剁椒鱼头（整只）	双桥味精2.5kg	4	4	36	克	0.06
总部	剁椒鱼头（整只）	海皇大豆油10L	50	50	0	克	0
总部	剁椒蒸毛芋	毛芋头(光）	300	300	4	克	2.4
总部	剁椒蒸毛芋	大红椒	15	15	5.25	克	0.16
总部	剁椒蒸毛芋	小米椒	10	10	10	克	0.2
