CRITICAL:2017-11-11 08:04:21,583:Host www.python.org unknown
ERROR:2017-11-11 08:04:21,583:Couldn't find 'spam'
WARNING:2017-11-11 08:04:21,583:Feature is deprecated
CRITICAL:2017-11-11 08:05:07,507:Host www.zhouyuyao.cn unknown
ERROR:2017-11-11 08:05:07,508:Couldn't find 'zyy'
WARNING:2017-11-11 08:05:07,508:Feature is deprecated
CRITICAL:2017-11-11 08:05:30,231:Host www.zhouyuyao.cn unknown
ERROR:2017-11-11 08:05:30,231:Couldn't find 'zyy'
WARNING:2017-11-11 08:05:30,231:Feature is deprecated
2017-11-11 08:07:38,092:CRITICAL:Host www.zhouyuyao.cn unknown
2017-11-11 08:07:38,092:ERROR:Couldn't find 'zyy'
2017-11-11 08:07:38,092:WARNING:Feature is deprecated
2017-11-11 08:27:11,662:CRITICAL:Host www.zhouyuyao.cn unknown
2017-11-11 08:27:11,662:ERROR:Couldn't find 'zyy'
2017-11-11 08:27:11,662:WARNING:Feature is deprecated
